tipo;longitude;latitude;bairro;iptu;preco;condominio;area;quartos;banheiros;suites;vagas;caracteristicas
Apartamento;-46.535413;-23.703139;Baeta Neves;55;250000;360;64;2;1;0;1;[Playground,Salao de festas,Jardim,Area de servico]
Apartamento;-46.563486;-23.69087;Jardim Chacara Inglesa;0;585900;522;95;2;3;1;2;[Churrasqueira,Jardim,Espaco gourmet,Academia,Salao de festas,Playground,Piscina,Quadra poliesportiva,Piscina adulto,Piscina infantil,Varanda,Area de servico,Cinema,Salao de jogos,Sauna,SPA,Varanda gourmet]
Apartamento;-46.550967;-23.68607;Centro;300;1050000;900;133;3;2;1;2;[Piscina infantil,Piscina adulto,Sauna,SPA,Salao de jogos,Salao de festas,Quadra poliesportiva,Playground,Piscina,Jardim,Espaco gourmet,Cinema,Churrasqueira,Academia,Area de servico,Varanda gourmet]
Apartamento;-46.533875;-23.712535;Nova Petropolis;70;250000;384;67;3;1;0;1;
Apartamento;-46.521731;-23.707245;Baeta Neves;0;200000;254;55;2;1;;1;
Apartamento;-46.560565;-23.735128;Jd N Sra De Fatima;39;220000;480;57;2;1;;1;[Academia,Piscina]
Apartamento;-46.55918;-23.705227;Vila Campestre;0;290000;0;56;2;1;0;1;[Academia,Churrasqueira,Espaco gourmet,Jardim,Piscina,Playground,Salao de festas,Salao de jogos]
Apartamento;-46.599077;-23.654029;Suisso;699;300000;500;60;2;1;0;1;[Salao de festas,Varanda,Area de servico]
Apartamento;-46.56875;-23.729347;Dos Casa;50;280000;300;47;2;1;;1;[Varanda,Academia,Piscina]
Apartamento;-46.541166;-23.688256;Baeta Neves;0;342000;0;70;3;2;1;2;[Academia,Churrasqueira,Espaco gourmet,Jardim,Piscina,Playground,Quadra poliesportiva,Salao de festas]
Apartamento;-46.546615;-23.692505;Baeta Neves;0;330000;0;75;2;1;0;1;[Churrasqueira,Playground,Quadra poliesportiva,Salao de festas,Salao de jogos]
Apartamento;-46.555183;-23.706708;Vila Dusi;0;249000;280;54;2;2;1;2;[Churrasqueira,Espaco gourmet,Jardim,Playground,Quadra poliesportiva,Salao de festas,Salao de jogos,Varanda gourmet]
Apartamento;-46.561093;-23.685387;Jardim do Mar;0;1040000;600;150;3;4;3;3;[Piscina infantil,Piscina adulto,Academia,Churrasqueira,Cinema,Espaco gourmet,Jardim,Piscina,Playground,Quadra poliesportiva,Salao de festas,Salao de jogos,Sauna,SPA]
Apartamento;-46.546879;-23.716331;Centro;70;339000;475;70;2;2;1;2;[Academia,Playground,Sauna]
Apartamento;-46.547748;-23.71183;Centro;200;850000;800;127;3;3;3;3;[Churrasqueira,Varanda gourmet,Piscina,Salao de jogos,Area de servico]
Apartamento;-46.557402;-23.738996;Jardim das Quatro Marias;0;295000;0;60;2;1;0;1;[Piscina infantil,Piscina adulto,Academia,Churrasqueira,Espaco gourmet,Jardim,Piscina,Playground,Quadra poliesportiva,Salao de festas,Salao de jogos,Area de servico,Varanda]
Apartamento;-46.55199;-23.689555;Centro;244;915990;660;123;3;4;1;2;
Apartamento;-46.548353;-23.685565;Baeta Neves;0;420000;400;77;3;2;1;2;[Academia,Churrasqueira,Cinema,Espaco gourmet,Jardim,Piscina,Playground,Quadra poliesportiva,Salao de festas,Sauna,SPA]
Apartamento;-46.55913;-23.700395;Vila Anita;98;395000;657;80;3;2;1;2;[Varanda,Churrasqueira,Playground,Salao de festas]
Apartamento;-46.610742;-23.65916;Vila Santa Luzia;0;249900;0;51;2;1;0;1;[Academia,Churrasqueira,Cinema,Espaco gourmet,Jardim,Piscina,Playground,Quadra poliesportiva,Salao de festas,Salao de jogos,Varanda]
Apartamento;-46.572432;-23.724362;Assuncao;92;333425;350;60;2;2;1;1;[Churrasqueira,Espaco gourmet,Playground,Varanda gourmet]
Apartamento;-46.549441;-23.685752;Centro;190;550000;552;95;3;3;1;2;[Churrasqueira,Espaco gourmet,Academia,Playground,Piscina,Quadra poliesportiva,Salao de festas]
Apartamento;-46.597172;-23.657058;Suisso;0;300000;0;52;2;1;0;1;[Churrasqueira,Varanda,Salao de jogos,Area de servico]
Apartamento;-46.547709;-23.70893;Centro;250;3180000;4000;450;5;7;4;5;[Area de servico]
Apartamento;-46.543052;-23.697861;Baeta Neves;260;890000;800;130;3;4;3;2;[Churrasqueira,Varanda gourmet,Piscina,Varanda,Sauna,Area de servico]
Apartamento;-46.544499;-23.719145;Centro;150;460000;585;80;2;1;1;1;[Piscina infantil,Piscina adulto,Academia,Churrasqueira,Espaco gourmet,Jardim,Piscina,Playground,Quadra poliesportiva,Salao de festas,Salao de jogos,Sauna,SPA,Area de servico,Varanda]
Apartamento;-46.543572;-23.708287;Nova Petropolis;195;850000;1185;125;3;2;3;3;[Academia,Churrasqueira,Espaco gourmet,Jardim,Piscina,Playground,Quadra poliesportiva,Salao de festas,Salao de jogos,Sauna,Varanda gourmet]
Apartamento;-46.599171;-23.658873;Taboao;700;230000;400;59;2;1;0;1;[Churrasqueira,Playground,Quadra poliesportiva]
Apartamento;-46.547317;-23.721197;Vila Joao Basso;0;249000;0;48;2;1;0;1;[Academia,Churrasqueira,Espaco gourmet,Jardim,Piscina,Playground,Quadra poliesportiva,Salao de festas,Salao de jogos]
Apartamento;-46.542409;-23.703172;Nova Petropolis;400;1598200;1022;242;4;6;3;3;[Academia,Quadra poliesportiva,Churrasqueira,Espaco gourmet,Piscina,Playground,Varanda,Salao de festas,Salao de jogos,Sauna]
Apartamento;-46.545032;-23.719075;Centro;89;340000;374;77;2;2;1;2;
Apartamento;-46.572042;-23.723768;Assuncao;0;430000;432;65;3;2;1;2;[Academia,Churrasqueira,Jardim,Piscina,Playground,Quadra poliesportiva,Salao de festas,Salao de jogos]
Apartamento;-46.558115;-23.712422;Vila Goncalves;0;400000;0;58;2;2;1;1;[Academia,Churrasqueira,Piscina,Playground,Quadra poliesportiva,Salao de jogos,Salao de festas,Varanda gourmet]
Apartamento;-46.540322;-23.693601;Baeta Neves;93;372000;457;65;2;2;1;2;[Piscina infantil,Piscina adulto,Academia,Churrasqueira,Espaco gourmet,Piscina,Playground,Salao de festas,Salao de jogos,Area de servico,Varanda,Varanda gourmet]
Apartamento;-46.561863;-23.684351;Vila Marlene;100;532000;150;83;3;2;1;2;
Apartamento;-46.580091;-23.647379;Rudge Ramos;0;384315;0;69;3;2;1;2;[Academia,Salao de jogos,Salao de festas,Quadra poliesportiva,Playground,Piscina,Espaco gourmet,Churrasqueira,Varanda gourmet]
Apartamento;-46.558656;-23.713298;Vila Goncalves;104;499000;660;70;3;2;1;2;[Churrasqueira,Varanda gourmet,Piscina,Varanda]
Apartamento;-46.610742;-23.65916;Vila Santa Luzia;0;249900;0;51;2;1;0;1;[Academia,Churrasqueira,Cinema,Espaco gourmet,Jardim,Piscina,Playground,Quadra poliesportiva,Salao de festas,Salao de jogos,Varanda]
Apartamento;-46.548551;-23.704291;Nova Petropolis;1410;599000;785;103;3;3;1;2;[Varanda,Churrasqueira,Salao de jogos,Sauna]
Apartamento;-46.569917;-23.707179;Planalto;600;234000;300;46;2;1;0;1;[Academia,Churrasqueira,Playground,Salao de festas,Salao de jogos]
Apartamento;-46.610742;-23.65916;Vila Santa Luzia;0;249900;0;51;2;1;0;1;[Academia,Churrasqueira,Cinema,Espaco gourmet,Jardim,Piscina,Playground,Quadra poliesportiva,Salao de festas,Salao de jogos,Varanda]
Apartamento;-46.550959;-23.690139;Centro;2300;870000;750;123;3;3;1;2;[Academia,Churrasqueira,Espaco gourmet,Playground,Piscina,Quadra poliesportiva,Cinema,Salao de jogos,SPA,Varanda gourmet,Sauna]
Apartamento;-46.555205;-23.718179;Centro;0;341000;450;80;3;2;1;2;[Academia,Churrasqueira,Cinema,Espaco gourmet,Jardim,Piscina,Playground,Quadra poliesportiva,Salao de festas,Salao de jogos]
Apartamento;-46.555466;-23.702211;Jardim Olavo Bilac;90;290000;500;52;2;1;1;1;[Academia,Churrasqueira,Cinema,Espaco gourmet,Jardim,Piscina,Playground,Quadra poliesportiva,Salao de festas,Salao de jogos,Sauna]
Apartamento;-46.580492;-23.701099;Independência;100;2400;423;52;2;1;0;2;[Salao de jogos,Area de servico]
Apartamento;-46.564625;-23.666221;Vl Cam Mar;120;367000;860;61;2;2;1;2;
Apartamento;-46.557402;-23.738996;Jardim das Quatro Marias;0;295000;0;60;2;1;0;1;[Piscina adulto,Academia,Churrasqueira,Espaco gourmet,Jardim,Piscina,Playground,Quadra poliesportiva,Salao de festas,Salao de jogos,Area de servico]
Apartamento;-46.560142;-23.73251;Parque Espacial;100;212000;250;45;2;1;0;1;
Apartamento;-46.566637;-23.671353;Jardim Hollywood;0;373390;450;62;2;2;1;2;[Piscina infantil,Piscina adulto,Academia,Churrasqueira,Cinema,Espaco gourmet,Jardim,Piscina,Playground,Quadra poliesportiva,Salao de festas,Salao de jogos,Varanda gourmet]
Apartamento;-46.542406;-23.703172;Nova Petropolis;0;1080000;700;180;3;5;3;3;[Academia,Churrasqueira,Cinema,Espaco gourmet,Jardim,Piscina,Playground,Quadra poliesportiva,Sauna,SPA,Salao de festas,Salao de jogos,Varanda gourmet]
